18696        100   1424484289   1424493248   61.74 +-  2.23   64.36 +-  1.97   -3.25 +-  0.89   62.09 +-  3.06   64.34 +-  2.64   -1.11 +-  1.16
18697        100   1424517858   1424550984   64.18 +-  2.31   67.21 +-  1.96   -0.38 +-  0.25   62.84 +-  2.84   64.21 +-  2.46   -0.49 +-  0.29
18698        100   1424577916   1424609404   66.40 +-  2.14   68.06 +-  1.82   -0.85 +-  0.25   61.71 +-  2.43   63.58 +-  2.06   -0.71 +-  0.29
18699        100 -62169966000 -62169966000   64.02 +-  2.60   63.26 +-  2.60   -0.00 +-  0.00   64.39 +-  2.27   63.93 +-  2.27   -0.00 +-  0.00
18701        100   1424620569   1424652744   61.59 +-  2.00   64.09 +-  1.70   -0.69 +-  0.23   60.16 +-  1.97   62.24 +-  1.66   -0.36 +-  0.23
18702        100   1424658383   1424694420   65.37 +-  2.19   67.87 +-  1.82   -0.81 +-  0.24   60.97 +-  2.34   61.24 +-  1.94   -0.90 +-  0.26
18706        100   1424717291   1424746993   66.06 +-  2.66   66.88 +-  2.52   -1.46 +-  0.27   62.04 +-  2.17   64.68 +-  1.78   -0.53 +-  0.29
18707        100   1424754216   1424784639   62.41 +-  2.00   64.18 +-  1.65   -0.74 +-  0.26   60.89 +-  2.13   59.26 +-  1.70   -0.40 +-  0.29
18709        100   1424814441   1424844196   61.41 +-  2.11   65.23 +-  1.79   -1.12 +-  0.27   58.71 +-  2.55   60.40 +-  2.18   -0.82 +-  0.32
18710        100   1424851119   1424871745   60.43 +-  2.20   62.38 +-  1.90   -1.24 +-  0.36   61.31 +-  2.56   61.15 +-  2.18   -0.29 +-  0.43
18715        100   1424929289   1424963794   64.52 +-  1.88   65.30 +-  1.58   -1.11 +-  0.22   65.46 +-  2.09   64.39 +-  1.68   -0.24 +-  0.24
18717        100   1424977337   1424989524   65.09 +-  2.56   65.79 +-  2.10   -1.54 +-  0.84   68.02 +-  2.42   64.00 +-  1.78    2.05 +-  0.88
18718        100   1424993405   1425004169   68.73 +-  2.21   68.23 +-  2.21   -0.00 +-  0.00   63.14 +-  2.36   63.78 +-  2.36   -0.00 +-  0.00
18719        100   1425012601   1425047387   63.31 +-  1.86   65.27 +-  1.59   -0.77 +-  0.20   61.30 +-  1.75   63.08 +-  1.42   -0.60 +-  0.20
18721        100   1425063390   1425096482   63.06 +-  1.72   68.00 +-  1.53   -1.22 +-  0.18   63.00 +-  2.25   60.98 +-  1.96   -0.56 +-  0.23
18722        100   1425102665   1425115369   60.52 +-  2.61   59.53 +-  2.17    0.34 +-  0.75   64.73 +-  3.24   66.72 +-  2.73   -1.17 +-  0.94
18723        100   1425120195   1425151845   59.97 +-  2.11   65.89 +-  1.77   -1.26 +-  0.26   62.38 +-  2.36   64.54 +-  2.00   -0.96 +-  0.28
18726        100   1425175969   1425208528   60.54 +-  2.02   62.82 +-  1.71   -0.97 +-  0.23   57.09 +-  2.10   60.17 +-  1.77   -0.67 +-  0.24
18727        100   1425212960   1425242885   60.46 +-  2.16   61.96 +-  1.82   -0.93 +-  0.27   58.72 +-  2.50   60.60 +-  2.09   -0.66 +-  0.32
18728        100   1425247417   1425273661   61.33 +-  2.54   62.36 +-  2.20   -0.41 +-  0.35   61.23 +-  2.11   61.95 +-  1.72   -0.50 +-  0.32
18729        100   1425285985   1425306681   58.51 +-  2.52   63.29 +-  1.90   -2.52 +-  0.59   61.16 +-  2.46   60.16 +-  2.29    0.51 +-  0.89
18731        100   1425316027   1425345839   59.85 +-  2.05   69.06 +-  1.83   -2.24 +-  0.25   60.81 +-  2.04   66.19 +-  1.74   -0.59 +-  0.25
18732        100   1425356292   1425386354   69.13 +-  2.03   70.88 +-  1.71   -0.26 +-  0.26   61.33 +-  2.24   61.14 +-  1.88   -0.27 +-  0.27
18735        100   1425398778   1425399888   70.83 +-  2.28   69.20 +-  2.28   -0.00 +-  0.00   64.74 +-  2.05   63.93 +-  2.05   -0.00 +-  0.00
18737        100   1425413753   1425438198   60.86 +-  2.00   67.07 +-  1.81   -2.45 +-  0.32   57.79 +-  1.98   62.82 +-  1.71   -1.40 +-  0.31
18738        100   1425442279   1425455688   62.69 +-  2.20   65.84 +-  1.88   -2.38 +-  0.62   62.43 +-  2.97   64.43 +-  2.55   -1.63 +-  0.82
18740        100   1425512976   1425535299   56.37 +-  2.16   60.56 +-  1.90   -1.95 +-  0.36   59.19 +-  2.39   60.30 +-  2.05   -0.81 +-  0.38
18741        100   1425539827   1425559454   59.30 +-  2.46   63.68 +-  1.94   -2.33 +-  0.57   61.94 +-  6.09   58.33 +-  6.22   -1.81 +-  1.01
18748        100   1425594037   1425597675   70.58 +-  2.45   69.74 +-  2.45   -0.00 +-  0.00   63.12 +-  2.72   63.12 +-  2.72   -0.00 +-  0.00
18749        100   1425604461   1425649720   62.50 +-  4.77   69.08 +-  2.62   -0.94 +-  0.64   64.91 +-  3.25   61.57 +-  1.98    0.32 +-  0.39
18750        100   1425654616   1425664422   61.59 +-  1.98   61.59 +-  1.98   -0.00 +-  0.00   65.66 +-  2.92   65.66 +-  2.92   -0.00 +-  0.00
18751        100   1425669501   1425699678   63.95 +-  1.99   64.34 +-  1.64   -0.58 +-  0.26   60.23 +-  2.11   67.02 +-  1.81   -0.63 +-  0.25
18752        100   1425702306   1425727131   63.09 +-  2.42   60.63 +-  2.00   -0.02 +-  0.37   62.79 +-  2.37   64.55 +-  2.04   -0.41 +-  0.33
18753        100   1425730193   1425764511   63.42 +-  1.86   65.39 +-  1.53   -0.44 +-  0.21   62.31 +-  1.92   62.42 +-  1.59   -0.54 +-  0.22
18754        100   1425770725   1425800516   61.98 +-  1.99   62.28 +-  1.69   -0.42 +-  0.24   60.87 +-  2.05   63.25 +-  1.75   -0.65 +-  0.25
18758        100   1425820170   1425840226   61.74 +-  2.13   61.24 +-  1.79   -0.33 +-  0.39   64.65 +-  2.40   65.17 +-  2.05   -0.53 +-  0.42
18760        100   1425864128   1425894885   61.45 +-  1.88   66.26 +-  1.60   -1.28 +-  0.23   60.79 +-  1.92   61.98 +-  1.64   -0.69 +-  0.23
18761        100   1425897660   1425947464   63.87 +-  1.82   66.66 +-  1.45   -0.47 +-  0.15   61.19 +-  1.98   62.69 +-  1.63   -0.67 +-  0.16
18762        100   1425951485   1425954221   61.34 +-  2.80   61.34 +-  2.80   -0.00 +-  0.00   59.89 +-  2.32   59.89 +-  2.32   -0.00 +-  0.00
18763        100   1425958528   1425989093   63.11 +-  1.85   65.98 +-  1.53   -0.31 +-  0.23   57.60 +-  1.97   58.76 +-  1.63   -0.56 +-  0.25
18764        100   1425993074   1426023823   59.31 +-  1.88   60.47 +-  1.56   -0.45 +-  0.23   57.35 +-  2.00   55.60 +-  1.65   -0.07 +-  0.25
18765        100   1426026208   1426049833   61.66 +-  1.85   64.43 +-  1.58   -0.82 +-  0.29   62.78 +-  2.38   62.82 +-  1.98    0.08 +-  0.37
18766        100   1426052143   1426074232   62.65 +-  1.97   63.69 +-  1.65   -0.31 +-  0.33   57.88 +-  2.10   59.52 +-  1.74   -0.33 +-  0.35
18772        100   1426134424   1426164595   58.42 +-  1.80   59.98 +-  1.53   -0.83 +-  0.22   58.96 +-  3.02   59.34 +-  2.48    0.08 +-  0.37
18775        100   1426176180   1426176799   60.60 +-  2.19   59.21 +-  2.19   -0.00 +-  0.00   62.31 +-  2.19   61.53 +-  2.19   -0.00 +-  0.00
18776        100   1426179793   1426210655   59.49 +-  2.08   59.91 +-  1.85   -0.91 +-  0.23   57.86 +-  2.28   56.47 +-  1.98   -0.53 +-  0.26
18777        100   1426214772   1426246169   61.01 +-  2.08   62.39 +-  1.87   -0.92 +-  0.23   59.95 +-  2.23   61.80 +-  1.95   -0.68 +-  0.25
18778        100   1426253636   1426293737   59.37 +-  1.89   62.71 +-  1.69   -1.08 +-  0.17   59.50 +-  2.29   58.62 +-  1.91   -0.13 +-  0.21
18779        100   1426297322   1426327139   60.54 +-  1.89   64.43 +-  1.70   -0.92 +-  0.21   60.12 +-  2.33   57.14 +-  2.07   -0.45 +-  0.25
18780        100   1426329571   1426359279   61.69 +-  2.04   63.90 +-  1.85   -1.07 +-  0.23   56.91 +-  2.16   59.88 +-  1.80   -0.52 +-  0.27
18785        100   1426645226   1426675597   65.67 +-  2.31   65.63 +-  1.98   -0.22 +-  0.27   62.36 +-  2.82   62.22 +-  2.50   -0.42 +-  0.30
18786        100   1426681103   1426684351   68.96 +-  2.91   67.37 +-  2.91   -0.00 +-  0.00   64.24 +-  1.90   63.44 +-  1.90   -0.00 +-  0.00
